[Rel: 35886]: super-relations are not supported yet. ref: 903630
[no data] missing stop node. rel: https://osm.org/relation/422973 node: https://osm.org/node/424231672.
[no data] missing stop node. rel: https://osm.org/relation/421622 node: https://osm.org/node/424231676.
[no data] missing stop node. rel: https://osm.org/relation/6062554 node: https://osm.org/node/409821966.
[no data] missing stop node. rel: https://osm.org/relation/6080786 node: https://osm.org/node/317948687.
[no data] missing stop node. rel: https://osm.org/relation/6071514 node: https://osm.org/node/30229289.
[no data] missing stop node. rel: https://osm.org/relation/3262958 node: https://osm.org/node/626869033.
[no data] missing stop node. rel: https://osm.org/relation/68558 node: https://osm.org/node/497492797.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/432595776.
[no data] missing stop node. rel: https://osm.org/relation/7188638 node: https://osm.org/node/4000588632.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/441729894.
[no data] missing stop node. rel: https://osm.org/relation/72507 node: https://osm.org/node/334627697.
[no data] missing stop node. rel: https://osm.org/relation/3385699 node: https://osm.org/node/304391053.
[no data] missing stop node. rel: https://osm.org/relation/422973 node: https://osm.org/node/398836628.
[no data] missing stop node. rel: https://osm.org/relation/8047747 node: https://osm.org/node/454411159.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/38347677.
[no data] missing stop node. rel: https://osm.org/relation/173118 node: https://osm.org/node/441295786.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/399164341.
[no data] missing stop node. rel: https://osm.org/relation/72507 node: https://osm.org/node/334627769.
[no data] missing stop node. rel: https://osm.org/relation/72507 node: https://osm.org/node/334627783.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/399164367.
[no data] missing stop node. rel: https://osm.org/relation/8533000 node: https://osm.org/node/433038291.
[no data] missing stop node. rel: https://osm.org/relation/68320 node: https://osm.org/node/334693338.
[no data] missing stop node. rel: https://osm.org/relation/71919 node: https://osm.org/node/335799260.
[no data] missing stop node. rel: https://osm.org/relation/68320 node: https://osm.org/node/334693345.
[no data] missing stop node. rel: https://osm.org/relation/6065251 node: https://osm.org/node/3492759636.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/399164415.
[no data] missing stop node. rel: https://osm.org/relation/72507 node: https://osm.org/node/334627844.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/392872966.
[no data] missing stop node. rel: https://osm.org/relation/70045 node: https://osm.org/node/392872967.
[no data] missing stop node. rel: https://osm.org/relation/69270 node: https://osm.org/node/3189441547.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/305447950.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/946979858.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/399164454.
[no data] missing stop node. rel: https://osm.org/relation/3262957 node: https://osm.org/node/607978542.
[no data] missing stop node. rel: https://osm.org/relation/51487 node: https://osm.org/node/258974771.
[no data] missing stop node. rel: https://osm.org/relation/74928 node: https://osm.org/node/302105653.
[no data] missing stop node. rel: https://osm.org/relation/74928 node: https://osm.org/node/302105654.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/399139896.
[no data] missing stop node. rel: https://osm.org/relation/71919 node: https://osm.org/node/302105657.
[no data] missing stop node. rel: https://osm.org/relation/71919 node: https://osm.org/node/1930519607.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/399139899.
[no data] missing stop node. rel: https://osm.org/relation/556304 node: https://osm.org/node/441730104.
[no data] missing stop node. rel: https://osm.org/relation/3169076 node: https://osm.org/node/322135101.
[no data] missing stop node. rel: https://osm.org/relation/1608140 node: https://osm.org/node/322135100.
[no data] missing stop node. rel: https://osm.org/relation/1608140 node: https://osm.org/node/322135095.
[no data] missing stop node. rel: https://osm.org/relation/1608138 node: https://osm.org/node/322135096.
[no data] missing stop node. rel: https://osm.org/relation/1608138 node: https://osm.org/node/322135098.
[no data] missing stop node. rel: https://osm.org/relation/71150 node: https://osm.org/node/3595052104.
[no data] missing stop node. rel: https://osm.org/relation/3199939 node: https://osm.org/node/459924553.
[no data] missing stop node. rel: https://osm.org/relation/3392264 node: https://osm.org/node/301663320.
[no data] missing stop node. rel: https://osm.org/relation/3392264 node: https://osm.org/node/301663321.
[no data] missing stop node. rel: https://osm.org/relation/3385699 node: https://osm.org/node/301663322.
[no data] missing stop node. rel: https://osm.org/relation/3385699 node: https://osm.org/node/301663324.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/1328399465.
