shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
68320,47.9740397,7.8275551,6
68320,47.9696146,7.8281067,7
68320,47.9669075,7.8286183,8
68320,47.958048,7.8304229,9
68320,47.9558158,7.8288978,10
68320,47.9526151,7.8278808,11
68320,47.9242792,7.7352685,12
68320,47.9309884,7.7176541,13
68320,47.9467896,7.8204654,14
68320,47.9522113,7.8280027,15
68320,47.9565035,7.8295992,16
68320,47.9587612,7.8313117,17
68320,47.9669075,7.8286183,18
68320,47.9692564,7.8283073,19
68320,47.9837119,7.836414,20
68320,47.9556544,7.8288215,21
68320,47.9866518,7.8360202,22
68320,47.9903705,7.8376845,23
68320,47.9965044,7.8409648,24
68320,47.9361667,7.758712,25
68320,47.9398013,7.7586742,26
68320,47.9412714,7.7545289,27
68320,47.9231466,7.8015896,28
68320,47.9232865,7.8019344,29
68320,47.9235021,7.7936209,30
68320,47.923616,7.7935315,31
68320,47.920178,7.7872468,32
68320,47.9203572,7.7881503,33
68320,47.9200753,7.7795987,34
68320,47.9201065,7.7808107,35
68320,47.9191045,7.7455852,36
68320,47.9185899,7.7464361,37
68320,47.9332521,7.8097204,38
68558,47.9966974,7.8411224,0
68558,47.9902825,7.8533538,1
68558,47.9083899,7.8922625,2
68558,47.9908256,7.8533399,3
68648,48.0111244,7.8301448,0
68648,48.011476,7.8295315,1
68648,48.0134287,7.8262852,2
68648,48.0042938,7.8365829,3
68648,48.0042797,7.8363415,4
68648,48.0138637,7.8256749,5
68648,48.0157503,7.8226377,6
68648,48.0181515,7.8183599,7
68648,48.0287453,7.8087889,8
68648,48.0288896,7.8090444,9
68648,48.0182314,7.8182121,10
68648,48.0154438,7.8231623,11
68648,48.0350149,7.8630231,12
68648,48.0329293,7.8036669,13
68648,48.0331796,7.8032481,14
68648,48.0279884,7.8456179,15
68648,48.072879,7.7993915,16
68648,48.0731242,7.8038536,17
68648,47.9963498,7.8411094,18
69270,48.0350149,7.8630231,0
69270,48.0193421,7.8557301,1
69270,48.0193415,7.8570376,2
69270,48.0110597,7.8540648,3
69270,48.0108366,7.8538438,4
69270,48.0058868,7.8500231,5
69270,48.0055485,7.8497119,6
69270,48.001955,7.8459558,7
69270,48.0012015,7.8452921,8
69270,47.9967687,7.8414494,9
69322,48.0430077,7.5802763,0
69322,48.0275644,7.5900085,1
69322,48.0138653,7.8075105,2
69322,48.0356784,7.5908414,3
69347,48.0379428,7.5822633,0
69347,48.0325278,7.8603016,1
69347,48.0350149,7.8630231,2
69347,48.0350763,7.8633218,3
69347,48.0274914,7.8460983,4
69347,48.0305988,7.8427516,5
69347,48.0287453,7.8087889,6
69347,48.0288896,7.8090444,7
69347,48.0279884,7.8456179,8
69347,48.0329293,7.8036669,9
69347,48.0331796,7.8032481,10
69347,48.0513957,7.6809407,11
69347,48.0495439,7.726576,12
69347,48.0502086,7.7275523,13
69347,48.0509688,7.7319951,14
69347,48.0511509,7.7321879,15
69672,48.0350149,7.8630231,0
69672,47.9961614,7.8409565,1
69672,48.0193415,7.8570376,2
69672,48.0193421,7.8557301,3
69672,48.0325278,7.8603016,4
69672,48.0110597,7.8540648,5
69672,48.0108366,7.8538438,6
69672,48.0058868,7.8500231,7
69672,48.0055485,7.8497119,8
69672,48.001955,7.8459558,9
69672,48.0012015,7.8452921,10
69742,47.9841926,7.7958945,0
69742,47.9840433,7.7956492,1
69742,47.9824754,7.8044671,2
69742,47.9800071,7.7973207,3
69742,47.9808326,7.7948941,4
69742,47.9841626,7.7958368,5
69742,47.9840676,7.7956837,6
69742,47.9815021,7.7956105,7
69742,47.9822156,7.7986342,8
69742,47.9979298,7.8316049,9
69742,47.9966745,7.8299946,10
69742,47.9952504,7.8338171,11
69742,47.9931763,7.8309991,12
69742,47.9947947,7.8264333,13
69742,47.9977513,7.8180458,14
69742,47.9906806,7.8201165,15
69742,47.9984134,7.8362004,16
69742,48.0005276,7.8378367,17
69742,47.9885084,7.7957975,18
69742,47.9880352,7.796113,19
69742,47.9907396,7.8201288,20
69742,47.9948538,7.8262192,21
69742,47.9935342,7.830209,22
69742,47.9949815,7.8337102,23
69742,47.9963883,7.8300863,24
69742,47.9979823,7.8314201,25
69742,47.9980348,7.8359086,26
69742,48.001418,7.8384232,27
69742,47.9950243,7.8335882,28
69751,48.0350763,7.8633218,0
69751,48.0350149,7.8630231,1
69751,48.0325278,7.8603016,2
