shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20069,53.0449951,8.7363333,2
20069,53.0450869,8.736271,3
20069,53.0466664,8.7378286,4
20069,53.0468037,8.7378385,5
20069,53.0484792,8.7418043,6
20069,53.0521433,8.7408152,7
20069,53.0522557,8.7406912,8
20069,53.0551928,8.7392703,9
20069,53.0552144,8.7390399,10
20069,53.0582629,8.7349037,11
20069,53.0582149,8.7347249,12
20069,53.057806,8.7293442,13
20069,53.0577221,8.7292867,14
20069,53.0568883,8.7235433,15
20069,53.0569414,8.7235368,16
20069,53.0564916,8.7173527,17
20069,53.0565662,8.7174278,18
20069,53.0441296,8.7228645,19
20069,53.0441213,8.7230008,20
20069,53.0460986,8.7181737,21
20069,53.0460909,8.7183409,22
20069,53.0391649,8.7282327,23
20069,53.0391684,8.7279711,24
20075,53.0437195,8.7233816,0
20075,53.0455946,8.7190363,1
20075,53.0557804,8.7161822,2
20075,53.0568822,8.7225596,3
20075,53.057549,8.7277528,4
20075,53.0580602,8.7355241,5
20075,53.0484792,8.7418043,6
20075,53.0548882,8.7398037,7
20075,53.0515283,8.7405047,8
20075,53.0473105,8.7385208,9
20075,53.0446379,8.7360063,10
20075,53.04086,8.730993,11
20075,53.039168,8.7291664,12
20075,53.0514303,8.7404208,13
20075,53.0548704,8.7399776,14
20075,53.0580892,8.7356655,15
20075,53.0576224,8.7278196,16
20075,53.056967,8.7225962,17
20075,53.0558317,8.7160234,18
20075,53.0455364,8.7190339,19
20075,53.0436844,8.7233058,20
20075,53.0390636,8.7292304,21
20075,53.0407531,8.7310135,22
20075,53.0445092,8.7360525,23
20075,53.0472023,8.7385086,24
31635,53.0361925,8.8278924,0
31635,53.038679,8.8322654,1
31635,53.0391691,8.8347889,2
31635,53.0347585,8.8851695,3
31635,53.0402296,8.8839787,4
31635,53.0480338,8.8837263,5
31635,53.0511107,8.8831507,6
31635,53.0564909,8.8780487,7
31635,53.0568113,8.8813312,8
31635,53.0563459,8.8849895,9
31635,53.0559095,8.8886418,10
31635,53.054891,8.8925634,11
31635,53.0591684,8.9002534,12
31635,53.0595168,8.909731,13
31635,53.0600306,8.9143567,14
31635,53.0629902,8.9143176,15
31635,53.071273,8.9150777,16
31635,53.0714486,8.9063944,17
31635,53.071608,8.9025098,18
31635,53.0765853,8.9015441,19
31635,53.0793789,8.8971019,20
31635,53.0794658,8.8937049,21
31635,53.0861986,8.891678,22
31635,53.086158,8.8963576,23
31635,53.0361317,8.8277403,24
31635,53.0361018,8.827573,25
31635,53.0386597,8.8323571,26
31635,53.0391227,8.8347434,27
31635,53.0347401,8.8852635,28
31635,53.0401798,8.8840651,29
31635,53.0479831,8.8838631,30
31635,53.0510263,8.8832384,31
31635,53.0564715,8.8782139,32
31635,53.0567661,8.8813554,33
31635,53.0563191,8.8850573,34
31635,53.0558697,8.8885675,35
31635,53.054882,8.8923707,36
31635,53.0591282,8.9002914,37
31635,53.0594419,8.9097826,38
31635,53.0599683,8.914471,39
31635,53.0629215,8.914406,40
31635,53.0713408,8.9151869,41
31635,53.0715138,8.9064205,42
31635,53.0716588,8.9026688,43
31635,53.0765741,8.9016745,44
31635,53.0794512,8.8971136,45
31635,53.0794944,8.8937191,46
31635,53.0861376,8.8916726,47
32688,53.1102803,8.8545364,0
32688,53.1103227,8.8545058,1
32688,53.1074996,8.8522031,2
32688,53.1053092,8.8497849,3
32688,53.1053177,8.8500064,4
32688,53.1062509,8.8457747,5
32688,53.1095202,8.8479673,6
32688,53.1095573,8.8479371,7
32688,53.1116523,8.8497281,8
32688,53.111695,8.8496734,9
32688,53.1139315,8.8437471,10
32688,53.1139782,8.8437949,11
32688,53.1149388,8.8376318,12
32688,53.1149803,8.8376473,13
32688,53.1150755,8.8325572,14
32688,53.1151399,8.8326802,15
32688,53.111961,8.8197146,16
32688,53.1120327,8.8196858,17
32688,53.1076737,8.8176183,18
32688,53.1077351,8.817582,19
32688,53.1042015,8.8165685,20
32688,53.1042405,8.8164673,21
32688,53.1015921,8.8147602,22
32688,53.1016044,8.8146756,23
32688,53.0979024,8.8123381,24
32688,53.0979933,8.8122651,25
32688,53.0951282,8.8091063,26
32688,53.0952701,8.8091177,27
32688,53.0945697,8.8024753,28
32688,53.094633,8.8024785,29
32688,53.0946695,8.7974541,30
32688,53.094736,8.7974844,31
32688,53.0913438,8.7906772,32
32688,53.09149,8.7907037,33
32688,53.0906702,8.7866569,34
32688,53.0906868,8.7867703,35
32688,53.0925324,8.784559,36
