shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
405907.01405907,49.3292831,7.0568565,34
405907.01405907,49.3292462,7.0567309,35
405907.01405907,49.3250368,7.0585903,36
405907.01405907,49.3249574,7.058811,37
405907.01405907,49.3114194,7.052742,38
405907.01405907,49.3110609,7.0527345,39
405907.01405907,49.312938,7.0501712,40
405907.01405907,49.3087131,7.052043,41
405907.01405907,49.308867,7.0523783,42
405907.01405907,49.3063358,7.055932,43
405907.01405907,49.3064097,7.0559428,44
405907.01405907,49.3037167,7.0573921,45
405907.01405907,49.3039119,7.0579005,46
405907.01405907,49.3003687,7.0513285,47
405907.01405907,49.2985532,7.0484795,48
405907.01405907,49.2996327,7.0472821,49
405907.01405907,49.3000385,7.0490523,50
405907.01405907,49.2993418,7.0554999,51
405907.01405907,49.2992655,7.055688,52
405907.01405907,49.2976456,7.0577258,53
405907.01405907,49.2977431,7.0576082,54
405907.01405907,49.2991832,7.0615635,55
405907.01405907,49.2992176,7.0611225,56
405907.01405907,49.3002788,7.0649494,57
405907.01405907,49.3002092,7.0645898,58
405907.01405907,49.301039,7.067463,59
406014.01406014,49.2747283,7.1118274,0
406014.01406014,49.2758089,7.0914736,1
406014.01406014,49.2758798,7.0921221,2
406459.01406459,49.2764238,7.0502172,0
406459.01406459,49.2764803,7.0498041,1
416496.01416496,49.2482546,6.970909,0
416496.01416496,49.2464212,6.9681948,1
416496.01416496,49.2411197,6.9613789,2
416496.01416496,49.2412344,6.9598749,3
416496.01416496,49.2336385,6.972883,4
416496.01416496,49.2334692,6.988998,5
416496.01416496,49.2337209,6.9875845,6
416496.01416496,49.2350298,6.9961987,7
418074.01418074,49.3210297,6.7461937,0
418074.01418074,49.3271522,6.7503714,1
418074.01418074,49.3271008,6.7505541,2
450843.01450843,49.2406935,6.985423,0
450843.01450843,49.2406466,6.9860013,1
450854.01450854,49.2403997,7.0004415,0
450854.01450854,49.2387265,6.9981204,1
450854.01450854,49.2482783,7.0052893,2
450854.01450854,49.2360183,6.9898517,3
450854.01450854,49.3144403,7.0419445,4
450854.01450854,49.2431582,7.0029776,5
